id;nome;email;valor_compra
1;Giovanna Araújo;zpeixoto@example.org;6793.75
2;Sofia Siqueira;jcastro@example.org;9386.45
3;Srta. Ana Sophia Pinto;vieiraana-sophia@example.com;3517.42
4;Bernardo da Paz;benjamin84@example.net;8236.75
5;João Gabriel Santos;castrobruna@example.net;3504.82
6;Esther Aragão;cauanovaes@example.net;2439.07
7;Carlos Eduardo Ribeiro;rporto@example.com;2327.45
8;Anthony Santos;zda-luz@example.com;2774.95
9;Lucas Gabriel Garcia;tsouza@example.net;4524.43
10;Henry Gabriel Freitas;joao-felipecavalcanti@example.org;1999.86
11;Felipe Viana;rafaela67@example.org;2771.85
12;Srta. Catarina Silva;alexiamonteiro@example.com;9445.90
13;José Pedro Vargas;cunhaisaque@example.net;4700.05
14;Vicente Almeida;crodrigues@example.net;3320.80
15;Sophie Vasconcelos;zda-mota@example.org;2096.84
16;Maria Sophia Pastor;joao-felipecampos@example.net;3845.94
17;Antônio Moura;bentovieira@example.org;9765.69
18;Henry Martins;yuri95@example.com;2791.34
19;Levi Souza;leo30@example.net;9805.95
20;Luan Rocha;gustavo-henrique33@example.net;8730.29
21;Alexia Almeida;valentimsilva@example.org;9767.55
22;Daniel Mendes;oda-conceicao@example.net;8205.86
23;Eduarda Teixeira;pastorcarolina@example.net;5546.96
24;Raquel Costa;maria-sophiaaragao@example.net;2153.47
25;Dra. Sara da Mata;vieiraaugusto@example.org;9399.60
26;Sr. Matteo Casa Grande;tabreu@example.org;5211.42
27;Emanuella Teixeira;mirellacastro@example.com;9509.54
28;Eduarda Pereira;bsales@example.com;4916.86
29;Srta. Ana Carolina Rezende;cmoraes@example.com;6196.91
30;Vinícius Nunes;hadassada-rosa@example.net;7159.69
31;Sra. Catarina Costa;marcos-viniciuspeixoto@example.org;7589.78
32;Valentim Siqueira;rebeca28@example.com;4956.49
33;Agatha Correia;tnunes@example.net;3435.42
34;José Miguel Cirino;hadassaramos@example.org;8648.46
35;Maria Julia Câmara;heitorfonseca@example.net;8104.67
36;Elisa Pereira;razevedo@example.org;2673.74
37;André Jesus;machadoanthony@example.org;2967.15
38;Sabrina Caldeira;juliaporto@example.net;5669.96
39;Cauê Rodrigues;erickpereira@example.net;8959.38
40;Emanuelly Nogueira;ygomes@example.net;6255.15
41;Theo Monteiro;lopesluiz-henrique@example.com;5731.79
42;Bella Andrade;olima@example.org;5818.13
43;Sra. Larissa Camargo;larissacarvalho@example.net;1945.32
44;Luiz Fernando Martins;ribeiroyago@example.net;3224.13
45;Paulo Abreu;rhavipinto@example.org;7248.71
46;Luiza Duarte;teixeiramaria-flor@example.net;8307.45
47;Rafael Borges;scavalcanti@example.org;7918.64
48;Pedro Henrique Campos;luccamonteiro@example.org;9514.90
49;Sara Rocha;castrosarah@example.net;9756.50
50;Sr. Henry da Rocha;fmoreira@example.net;8208.59
51;Dr. Rhavi Albuquerque;bfonseca@example.org;4193.56
52;Nina Câmara;mendesrenan@example.net;7642.01
53;Sra. Maria Isis Macedo;tda-mota@example.org;1903.55
54;Maria Luiza Dias;qda-rocha@example.com;5381.37
55;Sra. Joana Duarte;dsampaio@example.org;5881.99
56;Bella Melo;raul53@example.net;3557.61
57;Dra. Olivia Aparecida;da-motalevi@example.com;4101.59
58;Raquel Pereira;joao-guilhermealbuquerque@example.net;5411.29
59;Srta. Clara Barbosa;marquesmiguel@example.net;9755.34
60;Sr. Matheus Borges;salesjoaquim@example.net;8109.43
61;Dr. Rael Santos;aragaomariah@example.org;4131.85
62;Nicole Casa Grande;freitasnatalia@example.com;5225.41
63;Srta. Maria Liz Cavalcante;erodrigues@example.org;1354.32
64;Nicolas Vasconcelos;moraesmariana@example.net;5926.80
65;Theo Vieira;pribeiro@example.org;3242.20
66;Dr. Cauê da Conceição;mpereira@example.org;9248.29
67;Aurora Ferreira;kda-cruz@example.net;8211.97
68;João Gabriel Azevedo;vsousa@example.com;3732.00
69;Otávio Pinto;icampos@example.com;2676.44
70;Juan Pires;ana-luiza53@example.org;4880.12
71;Levi Duarte;pedro-henrique28@example.com;1484.23
72;José Pedro Dias;luiz-henrique41@example.org;2730.67
73;Emanuelly Vasconcelos;duarteeloah@example.net;2370.94
74;Anthony Gabriel Barros;allanadias@example.net;4400.88
75;Carlos Eduardo Martins;joao-guilhermecasa-grande@example.org;9240.28
76;Ryan Sá;caldeirabrenda@example.com;9885.30
77;Carlos Eduardo Costela;vargasleticia@example.org;8895.36
78;Ana Vitória Vieira;bella83@example.com;9317.21
79;Ana Carolina Freitas;emanuelly55@example.org;5181.51
80;Thomas Santos;isaque30@example.org;1011.86
81;Maria Luiza Santos;barbara82@example.com;4033.09
82;Brenda Gomes;ana-luizamartins@example.com;2525.01
83;Sr. Apollo Gomes;luara41@example.org;3685.26
84;Eduarda Campos;caua29@example.org;2270.25
85;Lucas Cassiano;lucca50@example.com;8153.80
86;Davi Lucca Novais;yagorezende@example.com;6683.27
87;Maria Fernanda Teixeira;daniela76@example.com;1211.22
88;Srta. Mariana Silva;sabrina07@example.org;7319.24
89;Rebeca Siqueira;sophieporto@example.com;3013.54
90;Sr. Isaque Martins;teixeiraisis@example.org;7448.95
91;Matteo da Rosa;fcamargo@example.org;5265.23
92;Sr. Paulo Barbosa;fonsecavinicius@example.com;6457.68
93;Maria Julia Pacheco;rochajoao-pedro@example.com;9255.02
94;Sr. Benicio Duarte;correiaarthur-miguel@example.net;1182.34
95;Sr. Lorenzo Freitas;ana-clarapires@example.net;1461.13
96;Isaac Almeida;rda-conceicao@example.com;8271.16
97;Catarina Pires;fcunha@example.net;5571.40
98;Lunna Rezende;gustavo-henriquecassiano@example.org;5624.23
99;Luna Albuquerque;bbarbosa@example.net;4634.68
100;Sra. Nina Rezende;gaelgomes@example.com;2404.40
101;Eduardo Brito;mcorreia@example.com;6862.15
102;Davi Lucca Pacheco;koliveira@example.net;5449.72
103;Alexia Almeida;elisaramos@example.net;3434.47
104;Anthony Gabriel Dias;oramos@example.org;2040.64
105;Isabelly Leão;viniciusalmeida@example.net;7940.47
106;Pedro Lucas Cirino;pmoraes@example.com;2201.52
107;Sr. Kaique Fogaça;uda-cruz@example.com;8372.39
108;Diego Albuquerque;lda-mata@example.com;4996.87
109;Luiz Felipe Santos;santosbeatriz@example.org;2446.80
110;Guilherme Leão;zporto@example.com;5583.19
111;Dr. Heitor Cirino;joao-vitor12@example.com;8768.01
112;Apollo Borges;britomanuella@example.net;7458.54
113;Lavínia Nunes;tcamargo@example.org;2717.12
114;Dr. Danilo Sá;isaqueabreu@example.net;6069.10
115;Caio Oliveira;costelastella@example.net;6062.69
116;Antônio Pires;vgoncalves@example.net;3789.79
117;Bruno Sá;juangoncalves@example.net;3538.87
118;Vicente Peixoto;gteixeira@example.net;2532.31
119;Levi Costa;rodriguesbella@example.net;2437.92
120;Srta. Ana Vitória Campos;martinsmarcelo@example.com;9360.64
121;Sr. Anthony Gabriel Barros;brunavieira@example.org;6393.17
122;Danilo Dias;sampaiogabriela@example.com;2475.18
123;Sra. Hadassa Melo;augusto78@example.net;8938.59
124;Enzo Silveira;hellenabarbosa@example.org;6567.71
125;Thales Freitas;araujobernardo@example.com;8535.84
126;Luiz Henrique Sousa;da-costaana-sophia@example.com;6525.64
127;Mathias Porto;leaocamila@example.net;2436.25
128;Bryan Vieira;fda-rosa@example.org;8638.42
129;Murilo Cavalcante;zcunha@example.com;6047.45
130;Gustavo Henrique Marques;henry94@example.org;9236.49
131;Dr. Luiz Henrique Cassiano;mouramaria-flor@example.net;2728.16
132;Daniel Peixoto;luigicunha@example.com;5150.16
133;Lucas Gabriel da Costa;luiz-miguel48@example.org;1549.47
134;Luiz Gustavo Pacheco;ana-julia52@example.org;9221.53
135;Felipe Teixeira;aurora24@example.com;1625.18
136;Lunna Carvalho;ana-julia59@example.org;4049.25
137;Melina Dias;isabelrezende@example.com;8896.03
138;Fernando da Rocha;ian89@example.com;9937.87
139;Sra. Bianca Gomes;uda-rocha@example.net;2497.06
140;Maria Cecília Pires;nuneslucca@example.org;6333.39
141;Sr. Cauã Silva;lcostela@example.net;2141.25
142;Manuela Andrade;maria-fernandada-costa@example.net;6991.56
143;Gabrielly Carvalho;sarah50@example.com;1079.46
144;Luana Cassiano;lcaldeira@example.net;5928.45
145;Theodoro Rodrigues;martinsvitor-hugo@example.org;7221.04
146;Maria Fernanda Siqueira;qaragao@example.com;5584.46
147;Raul Barros;iferreira@example.org;3198.91
148;João Pedro Vargas;lunna79@example.com;2145.03
149;Maria Isis Vargas;pedro-lucasda-rocha@example.org;1738.65
150;Olívia Novais;paraujo@example.com;4581.28
151;Vinicius Ferreira;correiaeloah@example.net;3857.64
