id;nome;email;valor_compra;dominio_email
1;Giovanna Araújo;zpeixoto@example.org;6793,75;example.org
2;Sofia Siqueira;jcastro@example.org;9386,45;example.org
3;Srta. Ana Sophia Pinto;vieiraana-sophia@example.com;3517,42;example.com
4;Bernardo da Paz;benjamin84@example.net;8236,75;example.net
5;João Gabriel Santos;castrobruna@example.net;3504,82;example.net
6;Esther Aragão;cauanovaes@example.net;2439,07;example.net
7;Carlos Eduardo Ribeiro;rporto@example.com;2327,45;example.com
8;Anthony Santos;zda-luz@example.com;2774,95;example.com
9;Lucas Gabriel Garcia;tsouza@example.net;4524,43;example.net
10;Henry Gabriel Freitas;joao-felipecavalcanti@example.org;1999,86;example.org
11;Felipe Viana;rafaela67@example.org;2771,85;example.org
12;Srta. Catarina Silva;alexiamonteiro@example.com;9445,9;example.com
13;José Pedro Vargas;cunhaisaque@example.net;4700,05;example.net
14;Vicente Almeida;crodrigues@example.net;3320,8;example.net
15;Sophie Vasconcelos;zda-mota@example.org;2096,84;example.org
16;Maria Sophia Pastor;joao-felipecampos@example.net;3845,94;example.net
17;Antônio Moura;bentovieira@example.org;9765,69;example.org
18;Henry Martins;yuri95@example.com;2791,34;example.com
19;Levi Souza;leo30@example.net;9805,95;example.net
20;Luan Rocha;gustavo-henrique33@example.net;8730,29;example.net
21;Alexia Almeida;valentimsilva@example.org;9767,55;example.org
22;Daniel Mendes;oda-conceicao@example.net;8205,86;example.net
23;Eduarda Teixeira;pastorcarolina@example.net;5546,96;example.net
24;Raquel Costa;maria-sophiaaragao@example.net;2153,47;example.net
25;Dra. Sara da Mata;vieiraaugusto@example.org;9399,6;example.org
26;Sr. Matteo Casa Grande;tabreu@example.org;5211,42;example.org
27;Emanuella Teixeira;mirellacastro@example.com;9509,54;example.com
28;Eduarda Pereira;bsales@example.com;4916,86;example.com
29;Srta. Ana Carolina Rezende;cmoraes@example.com;6196,91;example.com
30;Vinícius Nunes;hadassada-rosa@example.net;7159,69;example.net
31;Sra. Catarina Costa;marcos-viniciuspeixoto@example.org;7589,78;example.org
32;Valentim Siqueira;rebeca28@example.com;4956,49;example.com
33;Agatha Correia;tnunes@example.net;3435,42;example.net
34;José Miguel Cirino;hadassaramos@example.org;8648,46;example.org
35;Maria Julia Câmara;heitorfonseca@example.net;8104,67;example.net
36;Elisa Pereira;razevedo@example.org;2673,74;example.org
37;André Jesus;machadoanthony@example.org;2967,15;example.org
38;Sabrina Caldeira;juliaporto@example.net;5669,96;example.net
39;Cauê Rodrigues;erickpereira@example.net;8959,38;example.net
40;Emanuelly Nogueira;ygomes@example.net;6255,15;example.net
41;Theo Monteiro;lopesluiz-henrique@example.com;5731,79;example.com
42;Bella Andrade;olima@example.org;5818,13;example.org
43;Sra. Larissa Camargo;larissacarvalho@example.net;1945,32;example.net
44;Luiz Fernando Martins;ribeiroyago@example.net;3224,13;example.net
45;Paulo Abreu;rhavipinto@example.org;7248,71;example.org
46;Luiza Duarte;teixeiramaria-flor@example.net;8307,45;example.net
47;Rafael Borges;scavalcanti@example.org;7918,64;example.org
48;Pedro Henrique Campos;luccamonteiro@example.org;9514,9;example.org
49;Sara Rocha;castrosarah@example.net;9756,5;example.net
50;Sr. Henry da Rocha;fmoreira@example.net;8208,59;example.net
51;Dr. Rhavi Albuquerque;bfonseca@example.org;4193,56;example.org
52;Nina Câmara;mendesrenan@example.net;7642,01;example.net
53;Sra. Maria Isis Macedo;tda-mota@example.org;1903,55;example.org
54;Maria Luiza Dias;qda-rocha@example.com;5381,37;example.com
55;Sra. Joana Duarte;dsampaio@example.org;5881,99;example.org
56;Bella Melo;raul53@example.net;3557,61;example.net
57;Dra. Olivia Aparecida;da-motalevi@example.com;4101,59;example.com
58;Raquel Pereira;joao-guilhermealbuquerque@example.net;5411,29;example.net
59;Srta. Clara Barbosa;marquesmiguel@example.net;9755,34;example.net
60;Sr. Matheus Borges;salesjoaquim@example.net;8109,43;example.net
61;Dr. Rael Santos;aragaomariah@example.org;4131,85;example.org
62;Nicole Casa Grande;freitasnatalia@example.com;5225,41;example.com
63;Srta. Maria Liz Cavalcante;erodrigues@example.org;1354,32;example.org
64;Nicolas Vasconcelos;moraesmariana@example.net;5926,8;example.net
65;Theo Vieira;pribeiro@example.org;3242,2;example.org
66;Dr. Cauê da Conceição;mpereira@example.org;9248,29;example.org
67;Aurora Ferreira;kda-cruz@example.net;8211,97;example.net
68;João Gabriel Azevedo;vsousa@example.com;3732,0;example.com
69;Otávio Pinto;icampos@example.com;2676,44;example.com
70;Juan Pires;ana-luiza53@example.org;4880,12;example.org
71;Levi Duarte;pedro-henrique28@example.com;1484,23;example.com
72;José Pedro Dias;luiz-henrique41@example.org;2730,67;example.org
73;Emanuelly Vasconcelos;duarteeloah@example.net;2370,94;example.net
74;Anthony Gabriel Barros;allanadias@example.net;4400,88;example.net
75;Carlos Eduardo Martins;joao-guilhermecasa-grande@example.org;9240,28;example.org
76;Ryan Sá;caldeirabrenda@example.com;9885,3;example.com
77;Carlos Eduardo Costela;vargasleticia@example.org;8895,36;example.org
78;Ana Vitória Vieira;bella83@example.com;9317,21;example.com
79;Ana Carolina Freitas;emanuelly55@example.org;5181,51;example.org
80;Thomas Santos;isaque30@example.org;1011,86;example.org
81;Maria Luiza Santos;barbara82@example.com;4033,09;example.com
82;Brenda Gomes;ana-luizamartins@example.com;2525,01;example.com
83;Sr. Apollo Gomes;luara41@example.org;3685,26;example.org
84;Eduarda Campos;caua29@example.org;2270,25;example.org
85;Lucas Cassiano;lucca50@example.com;8153,8;example.com
86;Davi Lucca Novais;yagorezende@example.com;6683,27;example.com
87;Maria Fernanda Teixeira;daniela76@example.com;1211,22;example.com
88;Srta. Mariana Silva;sabrina07@example.org;7319,24;example.org
89;Rebeca Siqueira;sophieporto@example.com;3013,54;example.com
90;Sr. Isaque Martins;teixeiraisis@example.org;7448,95;example.org
91;Matteo da Rosa;fcamargo@example.org;5265,23;example.org
